Ref,Status,Location,Name,Created,Type,Status Changed,Open Actions,Total Actions,Association,OverDue,Images,Comments,Documents,Project,Report Forms Status,Report Forms Group
F145185.4,Opened,01 Daily Site Diary>Site Management>JPC Project Management,1328 CM-SM-FRM-001 Site Diary,15/09/2020,Site Management,15/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Site Management
F1.495500,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,15/09/2020,Subcontractor Inspections,15/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495499,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,15/09/2020,Subcontractor Inspections,15/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495498,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,15/09/2020,Subcontractor Inspections,15/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495496,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,15/09/2020,Subcontractor Inspections,15/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495479,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,15/09/2020,Subcontractor Inspections,15/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F124541.22,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F124541.21,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495343,Subcontractor Signed Off,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Closed,Subcontractor
F1.495319,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495317,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495311,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495286,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F116412.544,Open / Ongoing Works,2nd to 3rd Floor>4. Courtyard (South Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F1.495253,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495210,Opened,1328 - Townsend St,Permit to Excavate,14/09/2020,Permits,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Safety
F141663.2,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,14/09/2020,Safety Forms,14/09/2020,10,14,parent,FALSE,FALSE,TRUE,FALSE,1328,Open,Safety
F116412.532,Open / Ongoing Works,1st to 2nd Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.531,Open / Ongoing Works,1st to 2nd Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.533,Open / Ongoing Works,2nd to 3rd Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.534,Open / Ongoing Works,2nd to 3rd Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.535,Open / Ongoing Works,3rd to 4th Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.536,Open / Ongoing Works,3rd to 4th Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.537,Open / Ongoing Works,4th to 5th Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.538,Open / Ongoing Works,4th to 5th Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.539,Open / Ongoing Works,5th to 6th Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.540,Open / Ongoing Works,5th to 6th Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.543,Open / Ongoing Works,6th to 7th Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.542,Open / Ongoing Works,6th to 7th Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F116412.541,Open / Ongoing Works,6th to 7th Floor>2. Courtyard (North Elevation)>Elevations>Block 3>ITP 02 Architectural & M&E Services>QC & BC(A)R,QM-FRM-QC-009 Quality Control Record,14/09/2020,Quality 00 General,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F1.495174,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495149,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F1.495145,Open / Ongoing Works,02 Daily Work Plan>Site Management>JPC Project Management,SM-FRM-SUB-101 Daily Work Plan,14/09/2020,Subcontractor Inspections,14/09/2020,0,0,,FALSE,FALSE,FALSE,FALSE,1328,Open,Subcontractor
F131475.124,Open / Ongoing Works,2nd Floor Plan>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),14/09/2020,Quality 02 Architectural,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
F131475.123,Open / Ongoing Works,RM.2.221>Rooms>2nd Floor Plan>Block 4>ITP 02 Architectural & M&E Services>QC & BC(A)R,JPC-QC-CL-204 Void Closure Sign Off (Walls and Ceilings),14/09/2020,Quality 02 Architectural,14/09/2020,0,0,,FALSE,TRUE,FALSE,FALSE,1328,Open,Quality
