,Ref,Status,Location,Name,Created,Type,Status Changed,Open Actions,Total Actions,OverDue,Project,Report Forms Status,Report Forms Group,Created_Sec,Status Changed_Sec,Create_to_Last_StatusChanged(s),Create_to_Last_StatusChanged(weeks),Create_to_Last_StatusChanged(days)
16,F141663.2,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,14/09/2020,Safety Forms,14/09/2020,10,14,False,1328,Open,Safety,1600034400,1600034400,0,0,0
62,F131475.118,Open / Ongoing Works,EHS Management>JPC Project Management,CM-EHS-FRM-009 Temporary Electrics Inspection,11/09/2020,Safety Forms,11/09/2020,11,11,False,1328,Open,Safety,1599775200,1599775200,0,0,0
84,F116412.520,Open / Ongoing Works,JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,10/09/2020,Safety Forms,10/09/2020,10,11,False,1328,Open,Safety,1599688800,1599688800,0,0,0
104,F128229.12,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,10/09/2020,Safety Forms,10/09/2020,0,0,False,1328,Open,Safety,1599688800,1599688800,0,0,0
116,F1.493497,Open / Ongoing Works,Quality Review - Forms & Checklists>Training Area,CM-EHS-FRM-110 EHS Weekly Inspection,11/09/2020,Safety Forms,11/09/2020,0,0,False,1328,Open,Safety,1599775200,1599775200,0,0,0
120,F107663.72,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,11/09/2020,Safety Forms,11/09/2020,1,8,False,1328,Open,Safety,1599775200,1599775200,0,0,0
155,F141007.7,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,09/09/2020,Safety Forms,09/09/2020,8,10,False,1328,Open,Safety,1599602400,1599602400,0,0,0
156,F141007.6,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,09/09/2020,Safety Forms,09/09/2020,0,0,False,1328,Open,Safety,1599602400,1599602400,0,0,0
159,F141007.3,Open / Ongoing Works,04 Staturatury Forms>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,09/09/2020,Safety Forms,09/09/2020,6,6,False,1328,Open,Safety,1599602400,1599602400,0,0,0
200,F118318.379,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,08/09/2020,Safety Forms,08/09/2020,8,9,False,1328,Open,Safety,1599516000,1599516000,0,0,0
229,F131475.80,Open / Ongoing Works,QC & BC(A)R,CM-EHS-FRM-001 EHS Daily Management Inspection,07/09/2020,Safety Forms,07/09/2020,5,5,False,1328,Open,Safety,1599429600,1599429600,0,0,0
271,F118318.378,Open / Ongoing Works,Site Management>JPC Project Management,CM-EHS-FRM-009 Temporary Electrics Inspection,04/09/2020,Safety Forms,04/09/2020,4,4,False,1328,Open,Safety,1599170400,1599170400,0,0,0
273,F113721.255,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,04/09/2020,Safety Forms,08/09/2020,7,9,False,1328,Closed,Safety,1599170400,1599516000,345600,0,4
296,F84104.860,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,03/09/2020,Safety Forms,04/09/2020,0,8,False,1328,Closed,Safety,1599084000,1599170400,86400,0,1
300,F90895.102,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,03/09/2020,Safety Forms,04/09/2020,0,7,False,1328,Closed,Safety,1599084000,1599170400,86400,0,1
322,F128229.11,Open / Ongoing Works,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,02/09/2020,Safety Forms,02/09/2020,0,0,False,1328,Open,Safety,1598997600,1598997600,0,0,0
324,F90895.101,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,02/09/2020,Safety Forms,04/09/2020,0,14,False,1328,Closed,Safety,1598997600,1599170400,172800,0,2
359,F116412.493,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,01/09/2020,Safety Forms,04/09/2020,0,10,False,1328,Closed,Safety,1598911200,1599170400,259200,0,3
386,F102497.26,Open,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-002 - Contracts Manager Site Safety Walk (General).,31/08/2020,Safety Forms,31/08/2020,0,0,False,1328,Open,Safety,1598824800,1598824800,0,0,0
388,F140923.1,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,31/08/2020,Safety Forms,04/09/2020,0,20,False,1328,Closed,Safety,1598824800,1599170400,345600,0,4
432,F107663.68,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,28/08/2020,Safety Forms,01/09/2020,0,7,False,1328,Closed,Safety,1598565600,1598911200,345600,0,4
435,F118318.365,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-009 Temporary Electrics Inspection,28/08/2020,Safety Forms,01/09/2020,0,9,False,1328,Closed,Safety,1598565600,1598911200,345600,0,4
437,F90895.100,Closed,01 Inspections>EHS Management>JPC Project Management,EHS Inspection.,28/08/2020,Safety Forms,04/09/2020,0,11,False,1328,Closed,Safety,1598565600,1599170400,604800,1,7
451,F1.479955,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,27/08/2020,Safety Forms,01/09/2020,0,6,False,1328,Closed,Safety,1598479200,1598911200,432000,0,5
477,F129620.7,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,26/08/2020,Safety Forms,01/09/2020,0,12,False,1328,Closed,Safety,1598392800,1598911200,518400,0,6
528,F84104.858,Closed,EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,25/08/2020,Safety Forms,26/08/2020,0,2,False,1328,Closed,Safety,1598306400,1598392800,86400,0,1
540,F128229.8,Open / Ongoing Works,EHS Management>JPC Project Management,CM-EHS-FRM-007 COVID-19 Inspection,25/08/2020,Safety Forms,25/08/2020,0,0,False,1328,Open,Safety,1598306400,1598306400,0,0,0
557,F141663.1,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,25/08/2020,Safety Forms,26/08/2020,0,6,False,1328,Closed,Safety,1598306400,1598392800,86400,0,1
584,F113721.198,Closed,01 Inspections>EHS Management>JPC Project Management,CM-EHS-FRM-001 EHS Daily Management Inspection,21/08/2020,Safety Forms,26/08/2020,0,6,False,1328,Closed,Safety,1597960800,1598392800,432000,0,5
